Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
1570,102,18,84,32092C,Piglet Pursuit,Stargate Charter School,Colorado
1571,102,28,74,7226A,CKJH,Taichung Municipal Cheng-Kong Junior High School,Chinese Taipei
1572,102,18,84,12954F,4-H DawgBytes,Walker County 4-H,Georgia
1573,102,8,94,625E,Bully Busters,MAPLEWOOD MIDDLE,Wisconsin
1574,102,17,85,44035X,The Jawbreakers,Elyria Robotics,Ohio
1575,102,18,84,8686N,Nacho Chips,Sevier Middle School,South Carolina
1576,102,9,93,3722S,MANTIS,The Frazer School,Florida - North/Central
1577,102,17,85,7130C,Lightings,Lied Middle School,Nevada
1578,102,16,86,5709B,Techno Talons,Pin Oak Middle School,Texas - Region 3
1579,102,0,102,6671K,Focalors,Focalors,Middle China
1580,102,2,100,36832A,Owala Koalas,AUBURN JUNIOR HIGH SCHOOL,Alabama
1581,102,4,98,7775D,BBB,CADWALLADER MIDDLE SCHOOL,Nevada
1582,102,6,96,20122A,TECHNOTED,TED HATAY KOLEJİ,Türkiye
1583,102,2,100,9852C,The Apple Drop,Newton Sixth Form,Thailand
1584,102,4,98,25575B,Crazy Drivers,Tech Team,Washington
1585,102,4,98,5068G,Cntrl Alt Defeat,MILLARD NORTH MIDDLE SCHOOL,Nebraska
1586,102,2,100,214G,Glitter Gang,HAMILTON HEIGHTS MIDDLE SCHOOL,Indiana - Region 2 - Central
1587,102,0,102,65819D,Kammerer Middle School D,KAMMERER MIDDLE,Kentucky
1588,102,0,102,50674B,CSMS Powered Stallions,CORAL SPRINGS MIDDLE SCHOOL,Florida - South
1589,101,38,63,67420P,Prinťáci,"Základní škola a Mateřská škola, Stráž nad Nisou, příspěvková organizace",Czech Republic
1590,101,29,72,58303A,Pure Skill,VALLEY MIDDLE SCHOOL,North Dakota
1591,101,28,73,85321A,Team Chaos,Chaos Coordinators,Tennessee
1592,101,28,73,10452F,The Wizards,Haslett Robotics Club,Michigan
1593,101,18,83,65198E,The Wall-E-Pops,Jim Ned Intermediate School,Texas - Region 5
1594,101,24,77,11064B,The B Team,BRINK JHS,Oklahoma
1595,101,21,80,1836C,Crash Out Cuties,BARTON ACADEMY FOR ADVANCED WORLD STUDIES,Alabama
1596,101,20,81,76288B,The Clash,SPACES,Tennessee
1597,101,17,84,33033B,BatSteve,ST PAULS LUTHERAN SCHOOL,Wisconsin
1598,101,17,84,2529D,Clay Trojan Robotics,CLAY MIDDLE SCHOOL,Indiana - Region 2 - Central
1599,101,17,84,84496C,WBGS_Clipped_By_C,Watford Grammar School for Boys,United Kingdom
1600,101,11,90,33062C,Red Rover,HARTSELLE INTERMEDIATE SCHOOL,Alabama
1601,101,2,99,35016S,(AERO) The Moldy Cheese,ARAB JUNIOR HIGH SCHOOL,Alabama
1602,101,7,94,15765A,ÇeriBots,ÖZEL SANCAKTEPE YENİDOĞU ORTAOKULU,Türkiye
1603,101,7,94,15267A,Pirate Bots,Cochrane-Fountain City Jr. High School,Wisconsin
1604,101,0,101,33943A,Fukien Secondary School (Siu Sai Wan),Fukien Secondary School (Siu Sai Wan),Hong Kong
1605,101,0,101,13251A,FK1SS Team A,Fung Kai No.1 Secondary School,Hong Kong
1606,101,0,101,46750E,Blue Sandwiches,CRESTVIEW MIDDLE SCHOOL,Indiana - Region 1 - North
1607,101,0,101,18482C,Warm Springs Team #3,WARM SPRINGS MIDDLE,California - South
1608,101,0,101,45939A,Baron Bots A,DEKALB MIDDLE SCHOOL,Indiana - Region 1 - North
1609,100,2,98,73447A,EAGangster,Ernst-Abbe-Gymnasium,Germany
1610,100,37,63,6039W,67ers,BrandywineBOTS Robotics,Delmarva
1611,100,24,76,56721D,The Dirt Diggers,RIVERSIDE CHRISTIAN SCHOOL,Minnesota
1612,100,0,100,62153B,CMS2,Concordia Middle & High School,Chinese Taipei
1613,100,18,82,44844J,Vortex,Neenah Middle School,Wisconsin
1614,100,7,93,42862A,TorqueTitans,Private Home,United Kingdom
1615,100,18,82,90049E,THE PLASTIC CHAIRS,Syracuse Junior High,Utah
1616,100,2,98,12819A,Pop the corns,Adelaide Botanic High School,Australia
1617,100,18,82,20698Z,Maui Lani,Maui Lani,Hawaii
1618,100,14,86,4999W,404 Not Found,Mount Barker High school,Australia
1619,100,14,86,98999W,The Mr. CleanBots,River Ridge Academy,South Carolina
1620,100,0,100,2226F,GaJa,Yantai Huasheng International School (LifePlus),Middle China
1621,100,7,93,34701B,CLS I'm going to be king of the pirates,City of London School,United Kingdom
1622,100,7,93,50097A,EPIC INVENTORS FADAA AL MAOUHIBA EL JADIDA,FADAA AL MAOUHIBA EL JADIDA,Morocco
1623,100,7,93,84063C,Pulhof Robotics C,O.L.V.-Insituut / Pulhof,Belgium
1624,100,7,93,2569W,Rice Spice,Dreamstream Chino Hills,California - South
1625,100,7,93,3644B,Robo Avengers Team B,Robo Avengers Team B,Virginia
1626,100,7,93,5011A,Alpha-Z,Science Academy of Chicago,Illinois
1627,100,2,98,80292A,Sunny,AOTE Foundation,Michigan
1628,100,0,100,91441A,IAA Hawks,ISLAMIC ACADEMY OF ALABAMA,Alabama
1629,100,2,98,1565A,HGS_cogit,Highgate School,United Kingdom
1630,100,2,98,647C,Bot Camp C,Bot Camp,Ontario
1631,100,0,100,26277A,The Four Roboteers,HOOD RIVER MIDDLE SCHOOL,Oregon
1632,100,0,100,64165S,EDS_No name,InnoChain – Edu Investment Joint Stock Company,Vietnam
1633,100,0,100,5612A,RoboHub NZ,RoboHub NZ,New Zealand
1634,100,0,100,67840A,Robot Masters,BENJAMIN STODDERT MIDDLE SCHOOL,Maryland
1635,100,0,100,47P,CyberBots,EVERGREEN MIDDLE SCHOOL PTSA,Washington
1636,99,36,63,40458C,LJH- The Graveyard,LEGACY JR HIGH,Utah
1637,99,26,73,31408E,M&Ms,TAHLEQUAH MIDDLE SCHOOL,Oklahoma
1638,99,25,74,41400H,Hydro-Logic Hippos,HAROLD E. WINKLER MIDDLE,North Carolina
1639,99,21,78,2845R,Robo Rats,Ratatouille Robotics,France
1640,99,18,81,20352B,Mix and Matchers,SHERIDAN MIDDLE SCHOOL,Arkansas
1641,99,18,81,60510C,Shadow Bots,Annoor Robotics,Tennessee
1642,99,18,81,77773B,Robo Bananas,MADISON MIDDLE SCHOOL,Mississippi
1643,99,17,82,83203B,Hyper Bots,OSCEOLA SCIENCE CHARTER SCHOOL,Florida - North/Central
1644,99,13,86,66282A,Gears of Victory,NORTHWEST CABARRUS MIDDLE,North Carolina
1645,99,2,97,17705H,House of Havoc,ZIONSVILLE WEST MIDDLE SCHOOL,Indiana - Region 2 - Central
1646,99,2,97,20212N,Matrix_007,Matrix_007,United Kingdom
1647,99,2,97,88700E,Reina Roja 1,Academia STEM Tapachula,Mexico
1648,99,2,97,44713A,MEKATRON,Yenidoğu Okulları Çekmeköy,Türkiye
1649,98,38,60,68481B,Riverside Middle School Robotics 1,RIVERSIDE MIDDLE,South Carolina
1650,98,36,62,10673C,MMS #3,Marshall Middle School,Pennsylvania - West
1651,98,35,63,39971B,Deepminds Robotics,Deepminds Robotics,Texas - Region 4
1652,98,35,63,341T,Liv·e: Super Vex,LIV Koleji,Türkiye
1653,98,28,70,85365V,Vikings,Yuma Homeschool Robotics,Arizona
1654,98,28,70,72062A,JAM,St Finians Colleege,Ireland
1655,98,0,98,3896A,常营二队,乐思创新科技,North China
1656,98,18,80,2820W,We Don't Know,Oyster River Middle School,New Hampshire/Vermont
1657,98,18,80,75194C,Accept All Cookies,PORTER RANCH COMMUNITY,California - South
1658,98,17,81,14012A,Vexcellerate,PINECREST LAKES ACADEMY,Florida - North/Central
1659,98,14,84,25599K,Pass.Port Senior,Circuit Breakers,Türkiye
1660,98,7,91,72065Z,EndGame.exe,East End Middle School,Arkansas
1661,98,7,91,20352A,The Gear Grinders,SHERIDAN MIDDLE SCHOOL,Arkansas
1662,98,7,91,13765A,MTS_VEXPERTS,Merchant Taylors' School,United Kingdom
1663,98,7,91,18721K,Klankerz,STILLWATER MIDDLE SCHOOL,Oklahoma
1664,98,7,91,80707A,WangZhe,Sidun Edu,South China
1665,98,7,91,34802T,Techtolia Junior Robotics,Tenzile Erdoğan Kız Anadolu İmamhatip Lİsesi,Türkiye
1666,98,7,91,25678A,Ctr-Alt-Delete,Roland Park Magnet IB K-8,Florida - North/Central
1667,98,2,96,51190B,CVMS- Eaglebots,CHATTANOOGA VALLEY MIDDLE SCHOOL,Georgia
1668,98,4,94,21555B,MechaMen,Wildcats Robotics,Louisiana
1669,98,2,96,214B,Baby Beluga,HAMILTON HEIGHTS MIDDLE SCHOOL,Indiana - Region 2 - Central
1670,98,2,96,17291A,The Rebooters,The Rebooters,Texas - Region 3
1671,98,0,98,93939B,Tech Tonics,"Shrewsbury International School, Riverside",Thailand
1672,98,0,98,59272A,Raptor Robotics,DOVE SCIENCE ACADEMY TULSA,Oklahoma
1673,98,0,98,66888B,66888B,佛山市南海区石实实验学校,South China
1674,98,0,98,794D,RobotiX Institute,RobotiX Insititute,Tennessee
1675,98,0,98,82312B,UEPRIM MakerMinds,"Unidad Educativa Particular Bilingüe ""Principito & Marcel Laniado de Wind""",Ecuador
1676,98,0,98,38206A,Mirabots,UNIDAD EDUCATIVA MIRAFLORES,Ecuador
1677,98,0,98,54345C,SIS Please Burger Cheese,Seoul International School,South Korea
1678,98,0,98,68702J,Robotic Banana,QSI Quality Schools International,South China
1679,98,0,98,82894A,SAESPride ,ST ANDREW'S EPISCOPAL SCHOOL,California - North
1680,97,48,49,11450A,RMS Lions,RAVENSWOOD MIDDLE,California - North
1681,97,6,91,1567C,Litton,MILLER GROVE SCHOOL,Texas - Region 2
1682,97,23,74,13729P,Buffalo Bots,BUFFALO MIDDLE SCHOOL,West Virginia
1683,97,20,77,402A,No Pain No Chain,ST ROBERT BELLARMINE SCHOOL,Nebraska
1684,97,18,79,75263B,WarriorbotsJH2,WOODLAN JR/SR HIGH SCHOOL,Indiana - Region 1 - North
1685,97,17,80,9826K,Nova X,BERWICK ACADEMY,Maine
1686,97,17,80,10173W,HBS  Roboblasters,Henrietta Barnett School,United Kingdom
1687,97,4,93,24250F,VEX Vikings Falcon,BRENTWOOD MIDDLE SCHOOL,Tennessee
1688,97,4,93,1417R,RachmaniBOTS,ROM12 Inc.,Indiana - Region 2 - Central
1689,97,6,91,243C,Queens,FRONTIER SCHL OF INNOVATION-M,Missouri
1690,97,2,95,3568D,PAKSE_HN,"International School of Laos, Pakse campus",Laos
1691,97,0,97,49448A,TOTONEX,Colregio,Colombia
1692,97,0,97,2099A,2099A,STEMSTAR-ShenZhen,South China
1693,97,0,97,34967B,Cyborg Hawks,"Základní škola a Mateřská škola, Česká Lípa, Jižní 1903, příspěvková organizace",Czech Republic
1694,97,0,97,81314R,Kim Cook,American International School of Guangzhou,South China
1695,97,0,97,33111A,Rumble Bots,Robot Mastery,Texas - Region 3
1696,97,0,97,30041D,Lakeside 30041 D,LAKESIDE MIDDLE SCHOOL,Georgia
1697,96,36,60,58312B,Boppin Bir'bs,DESERT RIDGE MIDDLE,New Mexico
1698,96,30,66,21415A,Special Forces,SOUTH OGDEN JR HIGH,Utah
1699,96,28,68,40586A,Hickory Hackers,HICKORY RIDGE MIDDLE,North Carolina
1700,96,28,68,98585C,Vex Di Gras,Northshore Robotics,Louisiana
1701,96,24,72,29684A,TOT Bots,STARR-IVA MIDDLE,South Carolina
1702,96,14,82,11029A,The Blue Chickens,ABRAHAM LINCOLN MIDDLE SCHOOL,Florida - North/Central
1703,96,9,87,94600A,Knights,St Mary's School,Connecticut
1704,96,2,94,77643A,Harmony Tigers,HARMONY SCIENCE ACADEMY - BRYAN,Texas - Region 3
1705,96,6,90,587B,BOB SAYS HI,HILO INTERMEDIATE SCHOOL,Hawaii
1706,96,0,96,3531B,DESAmators,Dallas Environmental Science Academy,Texas - Region 2
1707,96,0,96,85789A,Pums Pirattiur ,Srf Foundation ,India
1708,96,0,96,75117D,SUBZ3R0,EDGEWOOD MIDDLE,Texas - Region 2
1709,95,44,51,56721E,Kupono pickles,RIVERSIDE CHRISTIAN SCHOOL,Minnesota
1710,95,40,55,44236E,FilizRobotics,Edirne Özel Filiz Okulları,Türkiye
1711,95,37,58,88454D,The Dynamic Raiders,EASTWOOD MIDDLE SCHOOL,Texas - Region 1
1712,95,21,74,66573D,Nightingale Daveenie,FLORENCE NIGHTINGALE MIDDLE,California - South
1713,95,34,61,71221A,STEM Squad,STEM For Kids,United Kingdom
1714,95,24,71,32889A,Geared UP,Dr. Phinnize J. Fisher Middle School,South Carolina
1715,95,2,93,61434T,Rising Sunset,Rising Sunset,Texas - Region 5
1716,95,19,76,56209A,Los Aguacateros,Walnut Park Mid A School Of Soc Just And Service Learning,California - South
1717,95,2,93,11030B,Robotech Immortals,Robotech Educational Services Inc.,New Jersey
1718,95,7,88,69897C,forrunners,BARRINGTON MIDDLE SCHOOL,Florida - North/Central
1719,95,13,82,19370D,Five Guys Sweepers,Our Lady of Perpetual Help Catholic School,Tennessee
1720,95,11,84,31337X,X Team,MOUNTAIN BROOK JUNIOR HIGH SCHOOL,Alabama
1721,95,7,88,63601A,Cookie Monsters,CENTRAL MIDDLE,Missouri
1722,95,9,86,18386C,Princeton Middle C,PRINCETON MIDDLE SCHOOL,West Virginia
1723,95,7,88,6233V,Vertex,Hometeam,North Carolina
1724,95,7,88,90007B,Revere Robotics Team B,PAUL REVERE CHARTER MIDDLE,California - South
1725,95,2,93,5559B,OK-Sigma King,OpenKids,Singapore
1726,95,0,95,48495K,Special K,Rovers Robotics,New Zealand
1727,95,0,95,557B,TED SAMSUN ROBOTICS TEAMS,TED SAMSUN KOLEJI,Türkiye
1728,95,0,95,54667E,Norse Force,Westby Middle School,Wisconsin
1729,95,0,95,70922A,APHS Techno Tigers,Academir Preparatory High School,Florida - South
1730,95,0,95,25352Z,System Error,DYR,California - North
1731,94,46,48,34926C,Mechmasters,Mosa-RT,Belgium
1732,94,45,49,12059C,Snack Bots,St. Luke Catholic School,Indiana - Region 2 - Central
1733,94,38,56,72799A,The RAYA Vipers,The School of Raya TSB Trust,India
1734,94,36,58,77732G,MSLR Club,MSLR Robotics,Indiana - Region 1 - North
1735,94,36,58,81011E,Robo Raptors,RAAS Robotics,New Jersey
1736,94,34,60,34344C,The Pinheads,CHICO JUNIOR HIGH,California - North
1737,94,28,66,85571D,BIA OWL's,Baltimore International Academy,Maryland
1738,94,18,76,9532E,Bacon-Botics,MCCANTS MIDDLE,South Carolina
1739,94,24,70,6656D,DragonXS,Xavier School,Philippines
1740,94,21,73,25455S,Bounty,CRANBERRY AREA JSHS,Pennsylvania - West
1741,94,20,74,3352M,Botty McBotface,VEXDiscovery,North Carolina
1742,94,20,74,98588A,Chevrette,NorthShore Robotics,Louisiana
1743,94,19,75,15155Z,Junior Pathfinders,AMERICAN LEADERSHIP ACADEMY Applied Technologies,Arizona
1744,94,18,76,23113A,RoboKai Aluminium,RoboKai,Virginia
1745,94,0,94,5813E,Lemon Sharks 2.0,SHORELINE JUNIOR HIGH,Utah
1746,94,9,85,6699P,The next team,Taiwan Robotics Lab,Chinese Taipei
1747,94,9,85,9821H,Tiny But Mighty,CENTRAL MIDDLE,Minnesota
1748,94,0,94,85974H,Wa-Nee:  The Heat,NorthWood Middle School,Indiana - Region 1 - North
1749,94,3,91,7627Y,7627Y,Teacher He's Robot Studio,South China
1750,94,0,94,99629Z,Team Z,Bob Miller Middle School,Nevada
1751,94,0,94,68702B,Käsehandler,QSI Quality Schools International,South China
1752,94,0,94,520D,Immanuel Warriors 520D,Immanuel Lutheran School,Indiana - Region 3 - South
1753,94,0,94,17925A,The Gremlins,Boswin Robotics,Ontario
1754,93,45,48,2281A,GMS Iron Man,ULYSSES S. GRANT MIDDLE SCHOOL,Ohio
1755,93,0,93,10863B,JSTEA TEAM B,JSTEA,Hong Kong
1756,93,35,58,30934B,Genç Mühendisler 2,Young Engineers,Türkiye
1757,93,30,63,19601B,VEX F.C.,The Benjamin School,Florida - South
1758,93,30,63,985A,All-Stars,Mary Our Queen School,Nebraska
1759,93,28,65,10515G,Pink Sparkly Bows,J WILLIAM FULBRIGHT JUNIOR HIGH SCHOOL,Arkansas
1760,93,9,84,33334A,Taft Cyberdogs,ROBERT TAFT MIDDLE SCHOOL,Indiana - Region 1 - North
1761,93,28,65,21169G,5 Guyss,Stamford American School Hong Kong,Hong Kong
1762,93,2,91,2281S,GMS War Machine,ULYSSES S. GRANT MIDDLE SCHOOL,Ohio
1763,93,7,86,88173C,GORLOCK,All Hallows Catholic High School,United Kingdom
1764,93,19,74,46415M,M!ZMO,Makati High School,Philippines
1765,93,17,76,8692B,Findle Sweeney,THE LAB SCHOOL OF WASHINGTON,District of Columbia
1766,93,9,84,603E,Exabytes,RIZE Robotics,New Hampshire/Vermont
1767,93,9,84,21549B,Omega,Queen Elizabeth's School,United Kingdom
1768,93,9,84,13289A,6 Musketeers,GRAYLING MIDDLE SCHOOL,Michigan
1769,93,7,86,435A,Fantastic Four,Noe Middle School,Kentucky
1770,93,7,86,25808Z,Time Pulse,Oberoi International School,India
1771,93,7,86,69314B,Riverside Gearbenders,RIVERSIDE JUNIOR HIGH,Indiana - Region 2 - Central
1772,93,7,86,1932A,Ursanauts: 6 Musketeers,JOSEPH S BRUNO MONTESSORI ACADEMY,Alabama
1773,93,4,89,1948B,Dover Air Base Middle School,DOVER AIR FORCE BASE MIDDLE SCHOOL,Delmarva
1774,93,0,93,2205G,Strawhats,Robospark,Washington
1775,93,2,91,6546S,One Degree North: Drift,Singapore American School,Singapore
1776,93,0,93,15703D,Cyborgs,MILL CREEK MIDDLE SCHOOL,Tennessee
1777,93,2,91,77278A,Wheeler Spartans A,MAJOR SHELDON WHEELER MIDDLE SCHOOL,Hawaii
1778,93,0,93,17760K,Imagineers,Capitol City Robotics,District of Columbia
1779,93,0,93,85202R,૮₍ ˃ ⤙ ˂ ₎ა Sheep is so Clean,China Holiness College,Hong Kong
1780,93,0,93,12580A,12580A,福州市麦浦小学，福州市台江区第三中心小学，福州市杨桥中学,South China
1781,93,0,93,19841Y,PLK1984 Team Y,Po Leung Kuk Ho Yuk Ching (1984) College,Hong Kong
1782,93,0,93,99303D,Error: 6677 Not Found,Chadwick International,South Korea
1783,93,0,93,8089A,Huemonelab A,Huemonelab Coding,South Korea
1784,93,0,93,77612D,Furry Burritos,BUNA J H,Texas - Region 3
1785,93,0,93,9825E,EWS RoboJags E,THE EMERY/WEINER SCHOOL,Texas - Region 3
1786,93,0,93,52013Y,RoboANY,RoboANY,United Kingdom
1787,93,0,93,85665D,LWMS4,LISA ACADEMY WEST MIDDLE SCHOOL,Arkansas
1788,92,36,56,263C,Just Toast,RIVERSIDE MIDDLE,South Carolina
1789,92,36,56,81834A,JedAI,Lower Hutt Robotics,New Zealand
1790,92,34,58,78231B,Jaguar Robotics Team B/ Nerd Gummy Clusters,JACKSON CREEK MIDDLE SCHOOL,Indiana - Region 3 - South
1791,92,34,58,78338B,The Peanut Butter Cups,"PINE CREST SCHOOL, Boca Raton Campus",Florida - South
1792,92,28,64,74628E,Apex Machines,THREE RIVERS SCHOOL,Illinois
1793,92,18,74,8135B,Grizzly Gears,PINEY GROVE MIDDLE SCHOOL,Georgia
1794,92,20,72,14094C,Robotix67,DESALES CATHOLIC SCHOOL,New York-North
1795,92,19,73,83203A,Mechanical Masters,OSCEOLA SCIENCE CHARTER SCHOOL,Florida - North/Central
1796,92,18,74,19953M,CEKTECH,Özel 3 Mart Azizoğlu Ortaokulu,Türkiye
1797,92,18,74,1336E,Atlantis Autoparts,KROMREY MIDDLE,Wisconsin
1798,92,18,74,3620A,Nitro chickens,RANDALL MIDDLE SCHOOL,Florida - North/Central
1799,92,18,74,435G,NoeBot G,Noe Middle School,Kentucky
1800,92,17,75,80697C,Robowizards,KANKAKEE VALLEY MIDDLE SCHOOL,Indiana - Region 1 - North
1801,92,17,75,7775F,Screws Loose,CADWALLADER MIDDLE SCHOOL,Nevada
1802,92,7,85,14094B,Team Catastrophe,DESALES CATHOLIC SCHOOL,New York-North
1803,92,8,84,92929C,92 Chorley Challengers,92 (Chorley) Squadron RAF Air Cadets,United Kingdom
1804,92,6,86,725A,Apex Hackers,Apex Robotics,Arizona
1805,92,4,88,184F,ShortCircuit,Timberline Middle School,Washington
1806,92,4,88,70414B,NFT,Servicios Educacionales Martim Cererê,Ecuador
1807,92,2,90,99639A,RoboMakers,SRF Foundation,India
1808,92,2,90,77643B,Harmony Hawks,HARMONY SCIENCE ACADEMY - BRYAN,Texas - Region 3
1809,91,38,53,88701B,OPS Robot 2,Oscar-Paret-Schule Freiberg am Neckar,Germany
1810,91,25,66,2281W,GMS Spider Man,ULYSSES S. GRANT MIDDLE SCHOOL,Ohio
1811,91,35,56,86674A,Robosapients,South Coast Baptist College,Australia
1812,91,7,84,1766P,The Gourmet Gearheads,North Fond Du Lac School District,Wisconsin
1813,91,27,64,72777A,F0rtnite Elite,EAST FORK LUTHERAN GRADE SCHOOL AND HIGH SCHOOL,Arizona
1814,91,28,63,752D,Maximus Error,Kenosha Robo Crew (YMCA),Wisconsin
1815,91,25,66,19370A,The Cheeto Puffs,Our Lady of Perpetual Help Catholic School,Tennessee
1816,91,21,70,50013B,SKHHTCSS B,S.K.H. Holy Trinity Church Secondary School,Hong Kong
1817,91,21,70,9825W,EWS RoboJags W,THE EMERY/WEINER SCHOOL,Texas - Region 3
1818,91,21,70,31408A,Cheez-Its,TAHLEQUAH MIDDLE SCHOOL,Oklahoma
1819,91,21,70,49378C,Oh-Clankers!,PETAL MIDDLE SCHOOL,Mississippi
1820,91,18,73,13251C,FK1SS Team C,Fung Kai No.1 Secondary School,Hong Kong
1821,91,18,73,243E,TechnoMinds,FRONTIER SCHL OF INNOVATION-M,Missouri
1822,91,7,84,7833C,Fearless Falcons,CORAL ACADEMY OF SCIENCE LAS VEGAS - WINDMILL,Nevada
1823,91,18,73,90003C,Mustangs,Mary Mcleod Bethune Middle School,California - South
1824,91,18,73,18841C,Aura,Marist College,Ireland
1825,91,18,73,81785Z,Kinsale VEX Cubs 3,Kinsale Community School,Ireland
1826,91,17,74,68132C,Shifting Gears,ST MARGARET MARY SCHOOL,Nebraska
1827,91,0,91,45318C,Southwood StarBots,SOUTHWOOD MIDDLE SCHOOL,Florida - South
1828,91,9,82,55508E,Flapjax,CT STEM Academy,Connecticut
1829,91,9,82,13888A,QRCA - Flash,AAA Training and Tuition (RTO 46396),Australia
1830,91,7,84,1565C,VEX_Minions,Highgate School,United Kingdom
1831,91,7,84,4299A,CouGEARS - Ramen Eating Pandas,Ellis Middle School,Tennessee
1832,91,0,91,75035M,Five Stars,"Magikid Robotics Lab - Frisco, TX",Texas - Region 5
1833,91,2,89,43277D,Gear Bots,Gear Bots,Arizona
1834,91,0,91,6046B,Syntax Error - LOPEZ MIDDLE SCHOOL,LOPEZ MIDDLE SCHOOL,Texas - Region 4
1835,91,0,91,24699X,ber ber ber,乐创机器人编程竞赛中心,West China
1836,91,7,84,63326D,Daystar Academy,Daystar Academy,North China
1837,91,0,91,45096B,Aventura Waterways K-8 Torque Titans,Aventura Waterways K-8,Florida - South
1838,91,4,87,26121B,VEXTEDTEAM,TED ESKİŞEHİR KOLEJİ,Türkiye
1839,91,0,91,37G,Thirty-seven Guys,Cranbrook Schools,Michigan
1840,91,0,91,7650Z,Tiger TECH Ewa Makai,EWA MAKAI MIDDLE SCHOOL,Hawaii
1841,91,2,89,26121C,VEXCELLENT,TED ESKİŞEHİR KOLEJİ,Türkiye
1842,91,0,91,1909A,CHESSTRONICS CHECKMATES,Chesstronics Academy (CODE-CREATE-CHECKMATE),Georgia
1843,91,0,91,55451C,CC Elite,PERRY MIDDLE,Texas - Region 5
1844,91,0,91,18482B,Warm Springs Team #2,WARM SPRINGS MIDDLE,California - South
1845,91,0,91,8366D,小小怪D,郑东新区外国语中学,Middle China
1846,91,0,91,17525A,17525A,1752A,South China
1847,91,0,91,3668Z,Sentient Robotics Club,Macau Artificial Intelligence Education Center,Macau
1848,91,0,91,9158A,双井1队,北京市东城区乐东博教育科技有限公司,North China
1849,91,0,91,4250K,Rubber Duckies,MuYv Robotics Consulting,New Zealand
1850,91,0,91,10698A,Red Lightning A,MAUI WAENA INTERMEDIATE SCHOOL,Hawaii
1851,91,0,91,52808A,宇宙之星,VEX STU,North China
1852,91,0,91,71319B,Republic of Engineers,International School of Qingdao,Middle China
1853,91,0,91,63366R,THE TEAM,IGNITE ROBOTICS ,North Carolina
1854,91,0,91,84D,A2WE,TIMBERLINE MIDDLE SCHOOL,Washington
1855,91,0,91,68414V,CK VIQRC TEAM V,Sheng Kung Hui Choi Kou School (Macau),Macau
1856,91,0,91,55868B,revolution maker,PUICHING MIDDLE SCHOOL,Macau
1857,91,0,91,82312A,UEPRIM Innovators,"Unidad Educativa Particular Bilingüe ""Principito & Marcel Laniado de Wind""",Ecuador
1858,91,0,91,77278N,KING OF BURGERS (77278N),MAJOR SHELDON WHEELER MIDDLE SCHOOL,Hawaii
1859,91,0,91,3234X,Better than GPT,Highland Elementary,Washington
1860,91,0,91,47B,Velocity Vortex,Evergreen Middle School PTSA,Washington
1861,91,0,91,240C,TrailBlazers,Trailblazer Robotics Central Forsyth Branch,Georgia
1862,91,0,91,72X,Super Psychotic Cheese Penguins,Dover Youth Robotics,New Hampshire/Vermont
1863,91,0,91,33111E,Three Friends,Robot Mastery,Texas - Region 3
1864,91,0,91,71843C,Hendricks Robotics C,HENDRICKS MIDDLE SCHOOL,Georgia
1865,91,0,91,33428A,Octoπ,STEM 3 ACADEMY,California - South
1866,91,0,91,12338C,CPCS -WHEN,CROWN POINT CHRISTIAN SCHOOL,Indiana - Region 1 - North
1867,91,0,91,9532D,Temu Turtles,MCCANTS MIDDLE,South Carolina
1868,90,34,56,18991B,Geneva Middle School Robotics Team B,GENEVA MIDDLE SCHOOL,Alabama
1869,90,27,63,47G,Spectrum,Evergreen Middle School PTSA,Washington
1870,90,25,65,9532C,Wrench Dawgs,MCCANTS MIDDLE,South Carolina
1871,90,24,66,2035A,I Cast Fireball,JACKSON PREPARATORY SCHOOL,Mississippi
1872,90,22,68,11393J,The Krusty Krabs,Oak View,Florida - North/Central
1873,90,17,73,25678B,System Update,Roland Park Magnet IB K-8,Florida - North/Central
1874,90,0,90,59707B,SchillingB,Schilling School for Gifted Children,Ohio
1875,90,4,86,33062D,Cyber Storm,HARTSELLE INTERMEDIATE SCHOOL,Alabama
1876,90,7,83,40458E,LJH- RUSH E,LEGACY JR HIGH,Utah
1877,90,7,83,69897B,mighty ducks,BARRINGTON MIDDLE SCHOOL,Florida - North/Central
1878,90,6,84,4392J,The Turtle Bots,EAST LIVERPOOL JUNIOR HIGH,Ohio
1879,90,6,84,2820P,The Tech Jaegers,Oyster River Middle School,New Hampshire/Vermont
1880,90,4,86,19968M,Vikings Robotics,H. O. Brittingham Elementary School,Delmarva
1881,90,4,86,98577A,PEL-I-CAN,Northshore Robotics,Louisiana
1882,90,4,86,63366G,GEAR GIRLS,IGNITE ROBOTICS,North Carolina
1883,90,2,88,77023B,Nimettömät,"City of Riihimaki, Pohjolanrinteen koulu",Finland
1884,90,0,90,15153X,Metal Munchers,TRINITY HEIGHTS GIFTED AND TALENTED SCHOOL,Texas - Region 2
1885,90,0,90,72366P,Quality International School of Shenzhen,Quality International School of Shenzhen,South China
1886,90,0,90,6698K,西安市航天富力城黄河小学/西安市曲江第八小学/西安市曲江第一小学/勉县第三中学,西安市航天富力城黄河小学/西安市曲江第八小学/西安市曲江第一小学/勉县第三中学,West China
1887,90,0,90,24270B,CUCCH2,CUHKFAA Chan Chun Ha Secondary School,Hong Kong
